"offer_id","villager_id","selling_item_id","amount_of_selling_items","buying_item_id","amount_of_buying_items","needed_reputation_level"
"1","1","1","1","2","15","1"
"2","1","3","1","1","5","1"
"3","1","4","1","1","9","1"
"4","1","5","1","1","7","1"
"5","1","6","1","1","4","1"
"6","1","1","1","7","4","2"
"7","1","8","1","1","36","2"
"8","1","9","1","1","3","2"
"9","1","10","1","1","1","2"
"10","1","1","1","11","1","3"
"11","1","1","1","12","1","3"
"12","1","13","1","1","1","3"
"13","1","14","1","1","4","3"
"14","1","15","1","1","5","3"
"15","1","16","1","1","19","4"
"16","1","17","1","1","13","4"
"17","1","18","1","1","13","5"
"18","1","19","1","1","21","5"
"19","8","1","1","2","15","1"
"20","8","3","1","1","5","1"
"21","8","4","1","1","9","1"
"22","8","5","1","1","7","1"
"23","8","6","1","1","4","1"
"24","8","1","1","7","4","2"
"25","8","8","1","1","36","2"
"26","8","9","1","1","3","2"
"27","8","10","1","1","1","2"
"28","8","1","1","11","1","3"
"29","8","1","1","12","1","3"
"30","8","13","1","1","1","3"
"31","8","14","1","1","4","3"
"32","8","15","1","1","5","3"
"33","8","16","1","1","19","4"
"34","8","17","1","1","13","4"
"35","8","18","1","1","13","5"
"36","8","19","1","1","21","5"
"37","2","1","1","20","13","1"
"38","2","1","1","21","7","1"
"39","2","1","1","22","4","1"
"40","2","23","1","1","1","1"
"41","2","1","1","2","15","2"
"42","2","24","5","1","1","2"
"43","2","25","8","1","1","2"
"44","2","1","1","26","7","3"
"45","2","1","1","27","10","3"
"46","2","1","1","28","10","4"
"47","2","1","1","29","10","5"
"48","9","1","1","20","13","1"
"49","9","1","1","21","7","1"
"50","9","1","1","22","4","1"
"51","9","23","1","1","1","1"
"52","9","1","1","2","15","2"
"53","9","24","5","1","1","2"
"54","9","25","8","1","1","2"
"55","9","1","1","26","7","3"
"56","9","1","1","27","10","3"
"57","9","1","1","28","10","4"
"58","9","1","1","29","10","5"
"59","3","1","1","30","32","1"
"60","3","31","2","1","1","1"
"61","3","1","1","32","3","2"
"62","3","33","1","1","1","2"
"63","3","1","1","34","2","3"
"64","3","35","1","1","4","3"
"65","3","1","1","36","4","4"
"66","3","1","1","37","9","4"
"67","3","38","1","1","5","4"
"68","3","1","1","39","22","5"
"69","3","40","1","1","3","5"
"70","10","1","1","30","32","1"
"71","10","31","2","1","1","1"
"72","10","1","1","32","3","2"
"73","10","33","1","1","1","2"
"74","10","1","1","34","2","3"
"75","10","35","1","1","4","3"
"76","10","1","1","36","4","4"
"77","10","1","1","37","9","4"
"78","10","38","1","1","5","4"
"79","10","1","1","39","22","5"
"80","10","40","1","1","3","5"
"81","4","1","1","41","20","1"
"82","4","1","1","42","26","1"
"83","4","1","1","43","22","1"
"84","4","1","1","44","15","1"
"85","4","45","6","1","1","1"
"86","4","1","1","46","6","2"
"87","4","47","4","1","1","2"
"88","4","48","4","1","1","2"
"89","4","49","18","1","3","3"
"90","4","1","1","50","4","3"
"91","4","51","1","1","1","4"
"92","4","52","3","1","3","5"
"93","4","53","3","1","4","5"
"94","11","1","1","41","20","1"
"95","11","1","1","42","26","1"
"96","11","1","1","43","22","1"
"97","11","1","1","44","15","1"
"98","11","45","6","1","1","1"
"99","11","1","1","46","6","2"
"100","11","47","4","1","1","2"
"101","11","48","4","1","1","2"
"102","11","49","18","1","3","3"
"103","11","1","1","50","4","3"
"104","11","51","1","1","1","4"
"105","11","52","3","1","3","5"
"106","11","53","3","1","4","5"
"107","5","1","1","54","6","1"
"108","5","55","1","1","3","1"
"109","5","56","1","1","7","1"
"110","5","1","1","57","26","2"
"111","5","58","1","1","5","2"
"112","5","59","1","1","4","2"
"113","5","1","1","60","9","3"
"114","5","56","1","1","7","3"
"115","5","1","1","36","4","4"
"116","5","62","1","1","6","4"
"117","5","63","1","1","6","5"
"118","5","58","1","1","5","5"
"119","12","1","1","54","6","1"
"120","12","55","1","1","3","1"
"121","12","56","1","1","7","1"
"122","12","1","1","57","26","2"
"123","12","58","1","1","5","2"
"124","12","59","1","1","4","2"
"125","12","1","1","60","9","3"
"126","12","56","1","1","7","3"
"127","12","1","1","36","4","4"
"128","12","62","1","1","6","4"
"129","12","63","1","1","6","5"
"130","12","58","1","1","5","5"
"131","6","1","1","2","15","1"
"132","6","64","1","1","1","1"
"133","6","65","1","1","1","1"
"134","6","66","1","1","1","1"
"135","6","67","1","1","1","1"
"136","6","1","1","7","4","2"
"137","6","8","1","1","36","2"
"138","6","57","1","1","30","3"
"139","6","68","1","1","6","3"
"140","6","69","1","1","7","3"
"141","6","70","1","1","8","3"
"142","6","71","1","1","4","3"
"143","6","1","1","12","1","4"
"144","6","72","1","1","17","4"
"145","6","73","1","1","10","4"
"146","6","74","1","1","18","5"
"147","13","1","1","2","15","1"
"148","13","64","1","1","1","1"
"149","13","65","1","1","1","1"
"150","13","66","1","1","1","1"
"151","13","67","1","1","1","1"
"152","13","1","1","7","4","2"
"153","13","8","1","1","36","2"
"154","13","57","1","1","30","3"
"155","13","68","1","1","6","3"
"156","13","69","1","1","7","3"
"157","13","70","1","1","8","3"
"158","13","71","1","1","4","3"
"159","13","1","1","12","1","4"
"160","13","72","1","1","17","4"
"161","13","73","1","1","10","4"
"162","13","74","1","1","18","5"
"163","14","1","1","2","15","1"
"164","14","68","1","1","3","1"
"165","14","75","1","1","7","1"
"166","14","1","1","7","4","2"
"167","14","8","1","1","36","2"
"168","14","1","1","57","24","3"
"169","14","1","1","12","1","4"
"170","14","72","1","1","17","4"
"171","14","76","1","1","13","5"
"172","14","1","1","2","15","1"
"173","14","68","1","1","3","1"
"174","14","75","1","1","7","1"
"175","14","1","1","7","4","2"
"176","14","8","1","1","36","2"
"177","14","1","1","57","24","3"
"178","14","1","1","12","1","4"
"179","14","72","1","1","17","4"
"180","14","76","1","1","13","5"
